,year,company name,car model,km driven,ownership,Fuel,Price,Transmission,Variant,City
0,2009,Toyota,Camry,"99,864",1st Owner,Petrol,"₹3,07,299",Automatic,W4 AT Automatic,Mumbai
1,2020,Hyundai,VENUE,"4,489",1st Owner,Petrol,"₹9,52,499",Manual,SX 1.0 GDI IMT Manual,Mumbai
2,2020,Hyundai,VENUE,547,1st Owner,Petrol,"₹8,26,399",Manual,S MT 1.2 KAPPA Manual,Mumbai
3,2018,Maruti,Swift,"8,339",1st Owner,Petrol,"₹5,86,999",Manual,VXI Manual,Mumbai
4,2016,Mahindra,Kuv100,"44,486",1st Owner,Petrol,"₹3,90,799",Manual,K6+ 5 STR Manual,Mumbai
5,2015,Hyundai,Creta,"1,10,584",1st Owner,Diesel,"₹9,07,699",Manual,1.6 SX CRDI Manual,Mumbai
6,2016,Hyundai,Creta,"43,682",1st Owner,Petrol,"₹7,95,399",Manual,1.6 SX PLUS PETROL Manual,Mumbai
7,2011,Toyota,Etios,"47,256",2nd Owner,Petrol,"₹3,08,599",Manual,V Manual,Mumbai
8,2016,Volkswagen,Ameo,"31,192",2nd Owner,Petrol,"₹5,26,499",Manual,HIGHLINE 1.2 Manual,Mumbai
9,2016,Hyundai,Creta,"53,826",1st Owner,Petrol,"₹8,23,699",,1.6 SX PLUS VTVT,Mumbai
10,2014,Hyundai,Xcent,"56,864",3rd Owner,Petrol,"₹3,97,799",Automatic,SX AT 1.2 OPT Automatic,Mumbai
11,2017,Hyundai,i20 Active,"57,900",1st Owner,Petrol,"₹5,82,699",Manual,1.2 S Manual,Mumbai
12,2014,Hyundai,Elite i20,"43,096",2nd Owner,Petrol,"₹5,12,599",Manual,ASTA 1.2 Manual,Mumbai
13,2016,Maruti,Vitara Brezza,"97,103",1st Owner,Diesel,"₹7,73,199",Manual,ZDI PLUS Manual,Mumbai
14,2017,Honda,WR-V,"1,00,164",1st Owner,Petrol,"₹6,92,499",Manual,1.2 i-VTEC VX MT Manual,Mumbai
15,2016,Hyundai,i20 Active,"82,548",1st Owner,Diesel,"₹5,96,399",Manual,1.4 S Manual,Mumbai
16,2017,Honda,WR-V,"37,871",1st Owner,Petrol,"₹7,23,799",Manual,1.2 i-VTEC VX MT Manual,Mumbai
17,2019,Toyota,Glanza,"2,407",1st Owner,Petrol,"₹8,41,099",Automatic,V CVT Automatic,Mumbai
18,2017,Honda,WR-V,"53,017",1st Owner,Diesel,"₹7,61,999",Manual,1.5 i-DTEC VX MT Manual,Mumbai
19,2018,Ford,Figo Aspire,"47,965",1st Owner,Diesel,"₹5,16,399",Manual,1.5 TREND DIESEL Manual,Mumbai
